board,player,action,value
...XOXO..,X,2,0.08800000000000002
...XOXO..,X,7,-0.488
...XOXO..,X,8,-0.2
...XOXO.X,O,1,-0.2
...XOXO.X,O,2,0.488
...XOXO.X,O,7,-0.2
...XOXOOX,X,2,0.2
...XOXOX.,O,0,0.67232
...XOXX.O,O,7,0.2
...XOXXO.,O,0,0.0
...XOXXOO,X,1,-0.2
...XOXXOO,X,2,-0.2
...XX...O,O,2,-0.03999999999999998
...XX..O.,O,2,-0.03999999999999998
...XX..O.,O,6,-0.2
...XX..O.,O,8,0.2
...XX..OO,X,2,-0.2
...XX.O..,O,0,-0.488
...XX.O..,O,1,-0.488
...XX.O..,O,2,-0.50848
...XX.O..,O,5,-0.14431999999999995
...XX.O..,O,7,-0.36000000000000004
...XX.O..,O,8,0.08971792297483981
...XX.O.O,X,0,-0.36000000000000004
...XX.O.O,X,1,-0.16800000000000004
...XX.O.O,X,2,-0.23199999999999998
...XX.O.O,X,7,0.0387285719711744
...XX.OO.,X,5,0.488
...XX.OOX,O,0,-0.2
...XX.OOX,O,1,-0.2
...XX.OOX,O,2,-0.36000000000000004
...XX.OOX,O,5,-0.2
...XX.OXO,O,0,-0.2
...XX.OXO,O,1,-0.28192
...XX.OXO,O,2,-0.36000000000000004
...XX.OXO,O,5,0.04997120000000001
...XX.XOO,O,1,-0.2
...XX.XOO,O,2,-0.2
...XX.XOO,O,5,-0.03999999999999998
...XXO.OX,O,0,-0.2
...XXO.OX,O,1,-0.2
...XXO.OX,O,2,-0.2
...XXO.OX,O,6,-0.2
...XXO.XO,O,2,0.2
...XXOO..,X,1,-0.2
...XXOO..,X,8,0.4304
...XXOO.X,O,0,0.0
...XXOO.X,O,1,-0.2
...XXOO.X,O,2,-0.2
...XXOO.X,O,7,-0.2
...XXOOOX,X,0,0.488
...XXOOXO,X,0,-0.2
...XXOOXO,X,2,0.06553600000000001
...XXOX.O,O,0,0.36000000000000004
...XXOXOO,X,0,0.2
...XXOXOO,X,1,-0.2
..O.....X,X,0,-0.03999999999999998
..O.....X,X,3,-0.03999999999999998
..O.....X,X,4,0.47290282936893446
..O.....X,X,5,-0.2
..O.....X,X,6,0.2
..O....X.,X,0,0.2
..O....X.,X,1,0.27040000000000003
..O....X.,X,3,0.2
..O....X.,X,4,-0.2
..O....X.,X,8,-0.04768000000000003
..O....XX,O,1,-0.2
..O....XX,O,3,-0.2
..O....XX,O,4,0.36000000000000004
..O....XX,O,5,-0.2
..O...X..,X,0,0.128
..O...X..,X,1,-0.09760000000000002
..O...X..,X,4,-0.03999999999999998
..O...X..,X,5,-0.2
..O...X..,X,7,-0.145984
..O...X..,X,8,0.8853266459423025
..O...X.X,O,0,-0.5904
..O...X.X,O,1,-0.5962982400000001
..O...X.X,O,3,-0.606784
..O...X.X,O,4,-0.5904
..O...X.X,O,5,-0.5904
..O...X.X,O,7,-0.6242857560952013
..O...XOX,X,0,0.783221592064
..O...XOX,X,1,0.0
..O...XOX,X,3,0.0
..O...XOX,X,4,-0.08800000000000002
..O...XOX,X,5,-0.16
..O...XX.,O,0,-0.2
..O...XX.,O,3,-0.2
..O...XX.,O,5,-0.03999999999999998
..O...XX.,O,8,0.36000000000000004
..O...XXO,X,5,-0.36000000000000004
..O..O.XX,X,0,-0.03999999999999998
..O..O.XX,X,1,-0.2
..O..O.XX,X,6,0.488
..O..OX.X,X,1,-0.03999999999999998
..O..OX.X,X,4,0.2
..O..OX.X,X,7,0.5904
..O..OXX.,X,1,0.2
..O..OXX.,X,3,-0.2
..O..X...,X,4,0.2
..O..X...,X,6,0.0
..O..X...,X,7,0.2
..O..X..X,O,4,0.2
..O..X.X.,O,6,-0.2
..O..X.XO,X,0,-0.2
..O..X.XO,X,3,-0.2
..O..XO.X,X,0,-0.2
..O..XO.X,X,4,-0.2
..O..XO.X,X,7,-0.2
..O..XOX.,X,4,0.2
..O..XOXX,O,0,0.2
..O..XX..,O,1,0.0
..O..XX..,O,4,0.2
..O..XX..,O,7,0.0
..O..XX..,O,8,0.0
..O..XX.O,X,0,0.0
..O..XXO.,X,1,0.2
..O..XXO.,X,4,0.0
..O..XXO.,X,8,-0.2
..O..XXOX,O,4,0.28800000000000003
..O..XXXO,O,0,0.36000000000000004
..O.O..XX,X,1,-0.1296
..O.O.X.X,X,0,0.7042278399999999
..O.O.X.X,X,1,-0.2
..O.O.XX.,X,0,0.0
..O.O.XX.,X,1,-0.2
..O.O.XX.,X,3,-0.2
